Month,diet
2004-01-01,100
2004-02-01,73
2004-03-01,71
2004-04-01,71
2004-05-01,74
2004-06-01,64
2004-07-01,62
2004-08-01,59
2004-09-01,55
2004-10-01,52
2004-11-01,51
2004-12-01,45
2005-01-01,64
2005-02-01,55
2005-03-01,58
2005-04-01,57
2005-05-01,61
2005-06-01,53
2005-07-01,52
2005-08-01,52
2005-09-01,46
2005-10-01,46
2005-11-01,45
2005-12-01,38
2006-01-01,62
2006-02-01,53
2006-03-01,49
2006-04-01,50
2006-05-01,50
2006-06-01,51
2006-07-01,50
2006-08-01,50
2006-09-01,46
2006-10-01,44
2006-11-01,43
2006-12-01,37
2007-01-01,58
2007-02-01,51
2007-03-01,51
2007-04-01,52
2007-05-01,50
2007-06-01,50
2007-07-01,49
2007-08-01,45
2007-09-01,44
2007-10-01,45
2007-11-01,40
2007-12-01,37
2008-01-01,55
2008-02-01,47
2008-03-01,45
2008-04-01,48
2008-05-01,45
2008-06-01,44
2008-07-01,44
2008-08-01,45
2008-09-01,42
2008-10-01,43
2008-11-01,40
2008-12-01,37
2009-01-01,54
2009-02-01,46
2009-03-01,47
2009-04-01,51
2009-05-01,50
2009-06-01,48
2009-07-01,47
2009-08-01,48
2009-09-01,44
2009-10-01,43
2009-11-01,43
2009-12-01,39
2010-01-01,59
2010-02-01,52
2010-03-01,52
2010-04-01,51
2010-05-01,51
2010-06-01,49
2010-07-01,50
2010-08-01,48
2010-09-01,47
2010-10-01,46
2010-11-01,42
2010-12-01,40
2011-01-01,61
2011-02-01,54
2011-03-01,54
2011-04-01,57
2011-05-01,55
2011-06-01,56
2011-07-01,54
2011-08-01,52
2011-09-01,50
2011-10-01,48
2011-11-01,48
2011-12-01,44
2012-01-01,65
2012-02-01,57
2012-03-01,56
2012-04-01,58
2012-05-01,55
2012-06-01,54
2012-07-01,57
2012-08-01,55
2012-09-01,51
2012-10-01,48
2012-11-01,46
2012-12-01,42
2013-01-01,64
2013-02-01,59
2013-03-01,58
2013-04-01,59
2013-05-01,54
2013-06-01,56
2013-07-01,55
2013-08-01,53
2013-09-01,51
2013-10-01,49
2013-11-01,45
2013-12-01,41
2014-01-01,63
2014-02-01,54
2014-03-01,55
2014-04-01,53
2014-05-01,52
2014-06-01,49
2014-07-01,48
2014-08-01,46
2014-09-01,47
2014-10-01,43
2014-11-01,41
2014-12-01,39
2015-01-01,58
2015-02-01,49
2015-03-01,50
2015-04-01,51
2015-05-01,48
2015-06-01,47
2015-07-01,47
2015-08-01,46
2015-09-01,43
2015-10-01,42
2015-11-01,40
2015-12-01,37
2016-01-01,52
2016-02-01,48
2016-03-01,47
2016-04-01,49
2016-05-01,48
2016-06-01,45
2016-07-01,44
2016-08-01,45
2016-09-01,43
2016-10-01,40
2016-11-01,39
2016-12-01,36
2017-01-01,54
2017-02-01,57
2017-03-01,51
2017-04-01,48
2017-05-01,48
2017-06-01,47
2017-07-01,51
2017-08-01,48
2017-09-01,45
2017-10-01,45
2017-11-01,42
2017-12-01,40
2018-01-01,59
2018-02-01,53
2018-03-01,53
2018-04-01,57
2018-05-01,56
2018-06-01,52
2018-07-01,53
2018-08-01,51
2018-09-01,48
2018-10-01,44
2018-11-01,43
2018-12-01,42
2019-01-01,63
2019-02-01,53
2019-03-01,53
2019-04-01,55
2019-05-01,48
2019-06-01,47
2019-07-01,47
2019-08-01,45
2019-09-01,44
2019-10-01,43
2019-11-01,42
2019-12-01,37
2020-01-01,54
2020-02-01,46
2020-03-01,33
2020-04-01,37
2020-05-01,43
2020-06-01,43
2020-07-01,42
2020-08-01,42
2020-09-01,41
2020-10-01,38
2020-11-01,33
2020-12-01,32
2021-01-01,43
2021-02-01,38
2021-03-01,39
2021-04-01,36
2021-05-01,34
